E	chi
1.0000E-05	2.1499E-12
1.5000E-05	2.6331E-12
2.0000E-05	3.0405E-12
3.5000E-05	4.0222E-12
5.0000E-05	4.8075E-12
7.5000E-05	5.8880E-12
1.0000E-04	6.7989E-12
1.5000E-04	8.3269E-12
2.0000E-04	9.6151E-12
3.5000E-04	1.2719E-11
5.0000E-04	1.5202E-11
7.5000E-04	1.8619E-11
1.0000E-03	2.1499E-11
1.5000E-03	2.6331E-11
2.0000E-03	3.0405E-11
3.5000E-03	4.0222E-11
5.0000E-03	4.8075E-11
7.5000E-03	5.8880E-11
1.0000E-02	6.7989E-11
1.5000E-02	8.3269E-11
2.0000E-02	9.6151E-11
3.5000E-02	1.2719E-10
5.0000E-02	1.5202E-10
7.5000E-02	1.8619E-10
1.0000E-01	2.1499E-10
1.5000E-01	2.6331E-10
2.0000E-01	3.0405E-10
3.5000E-01	4.0222E-10
5.0000E-01	4.8075E-10
7.5000E-01	5.8880E-10
1.0000E+00	6.7989E-10
1.5000E+00	8.3269E-10
2.0000E+00	9.6151E-10
3.5000E+00	1.2720E-09
5.0000E+00	1.5203E-09
7.5000E+00	1.8619E-09
1.0000E+01	2.1500E-09
1.1000E+01	2.2466E-09
1.2000E+01	2.3433E-09
1.3000E+01	2.4399E-09
1.4000E+01	2.5365E-09
1.5000E+01	2.6332E-09
1.6000E+01	2.7146E-09
1.7000E+01	2.7961E-09
1.8000E+01	2.8776E-09
1.9000E+01	2.9590E-09
2.0000E+01	3.0405E-09
2.1000E+01	3.1060E-09
2.2000E+01	3.1714E-09
2.3000E+01	3.2369E-09
2.4000E+01	3.3023E-09
2.5000E+01	3.3677E-09
2.6000E+01	3.4332E-09
2.7000E+01	3.4986E-09
2.8000E+01	3.5641E-09
2.9000E+01	3.6295E-09
3.0000E+01	3.6950E-09
3.1000E+01	3.7604E-09
3.2000E+01	3.8258E-09
3.3000E+01	3.8913E-09
3.4000E+01	3.9567E-09
3.5000E+01	4.0222E-09
3.6000E+01	4.0745E-09
3.7000E+01	4.1269E-09
3.8000E+01	4.1792E-09
3.9000E+01	4.2316E-09
4.0000E+01	4.2839E-09
4.1000E+01	4.3363E-09
4.2000E+01	4.3886E-09
4.3000E+01	4.4410E-09
4.4000E+01	4.4933E-09
4.5000E+01	4.5456E-09
4.6000E+01	4.5980E-09
4.7000E+01	4.6503E-09
4.8000E+01	4.7027E-09
4.9000E+01	4.7550E-09
5.0000E+01	4.8074E-09
5.1000E+01	4.8506E-09
5.2000E+01	4.8938E-09
5.3000E+01	4.9370E-09
5.4000E+01	4.9802E-09
5.5000E+01	5.0234E-09
5.6000E+01	5.0667E-09
5.7000E+01	5.1099E-09
5.8000E+01	5.1531E-09
5.9000E+01	5.1963E-09
6.0000E+01	5.2395E-09
6.1000E+01	5.2827E-09
6.2000E+01	5.3259E-09
6.3000E+01	5.3691E-09
6.4000E+01	5.4124E-09
6.5000E+01	5.4556E-09
6.6000E+01	5.4988E-09
6.7000E+01	5.5420E-09
6.8000E+01	5.5852E-09
6.9000E+01	5.6284E-09
7.0000E+01	5.6716E-09
7.1000E+01	5.7148E-09
7.2000E+01	5.7581E-09
7.3000E+01	5.8013E-09
7.4000E+01	5.8445E-09
7.5000E+01	5.8877E-09
7.6000E+01	5.9241E-09
7.7000E+01	5.9606E-09
7.8000E+01	5.9970E-09
7.9000E+01	6.0334E-09
8.0000E+01	6.0698E-09
8.1000E+01	6.1063E-09
8.2000E+01	6.1427E-09
8.3000E+01	6.1791E-09
8.4000E+01	6.2156E-09
8.5000E+01	6.2520E-09
8.6000E+01	6.2884E-09
8.7000E+01	6.3248E-09
8.8000E+01	6.3613E-09
8.9000E+01	6.3977E-09
9.0000E+01	6.4341E-09
9.1000E+01	6.4705E-09
9.2000E+01	6.5070E-09
9.3000E+01	6.5434E-09
9.4000E+01	6.5798E-09
9.5000E+01	6.6163E-09
9.6000E+01	6.6527E-09
9.7000E+01	6.6891E-09
9.8000E+01	6.7255E-09
9.9000E+01	6.7620E-09
1.0000E+02	6.7984E-09
1.1000E+02	7.1039E-09
1.2000E+02	7.4094E-09
1.3000E+02	7.7150E-09
1.4000E+02	8.0205E-09
1.5000E+02	8.3260E-09
1.6000E+02	8.5835E-09
1.7000E+02	8.8411E-09
1.8000E+02	9.0986E-09
1.9000E+02	9.3561E-09
2.0000E+02	9.6137E-09
2.1000E+02	9.8205E-09
2.2000E+02	1.0027E-08
2.3000E+02	1.0234E-08
2.4000E+02	1.0441E-08
2.5000E+02	1.0648E-08
2.6000E+02	1.0855E-08
2.7000E+02	1.1062E-08
2.8000E+02	1.1268E-08
2.9000E+02	1.1475E-08
3.0000E+02	1.1682E-08
3.1000E+02	1.1889E-08
3.2000E+02	1.2096E-08
3.3000E+02	1.2303E-08
3.4000E+02	1.2509E-08
3.5000E+02	1.2716E-08
3.6000E+02	1.2882E-08
3.7000E+02	1.3047E-08
3.8000E+02	1.3212E-08
3.9000E+02	1.3378E-08
4.0000E+02	1.3543E-08
4.1000E+02	1.3709E-08
4.2000E+02	1.3874E-08
4.3000E+02	1.4039E-08
4.4000E+02	1.4205E-08
4.5000E+02	1.4370E-08
4.6000E+02	1.4536E-08
4.7000E+02	1.4701E-08
4.8000E+02	1.4866E-08
4.9000E+02	1.5032E-08
5.0000E+02	1.5197E-08
5.1000E+02	1.5334E-08
5.2000E+02	1.5470E-08
5.3000E+02	1.5607E-08
5.4000E+02	1.5743E-08
5.5000E+02	1.5879E-08
5.6000E+02	1.6016E-08
5.7000E+02	1.6152E-08
5.8000E+02	1.6289E-08
5.9000E+02	1.6425E-08
6.0000E+02	1.6562E-08
6.1000E+02	1.6698E-08
6.2000E+02	1.6835E-08
6.3000E+02	1.6971E-08
6.4000E+02	1.7108E-08
6.5000E+02	1.7244E-08
6.6000E+02	1.7381E-08
6.7000E+02	1.7517E-08
6.8000E+02	1.7654E-08
6.9000E+02	1.7790E-08
7.0000E+02	1.7927E-08
7.1000E+02	1.8063E-08
7.2000E+02	1.8200E-08
7.3000E+02	1.8336E-08
7.4000E+02	1.8473E-08
7.5000E+02	1.8609E-08
7.6000E+02	1.8724E-08
7.7000E+02	1.8839E-08
7.8000E+02	1.8954E-08
7.9000E+02	1.9069E-08
8.0000E+02	1.9184E-08
8.1000E+02	1.9299E-08
8.2000E+02	1.9414E-08
8.3000E+02	1.9529E-08
8.4000E+02	1.9644E-08
8.5000E+02	1.9759E-08
8.6000E+02	1.9874E-08
8.7000E+02	1.9989E-08
8.8000E+02	2.0104E-08
8.9000E+02	2.0219E-08
9.0000E+02	2.0334E-08
9.1000E+02	2.0449E-08
9.2000E+02	2.0564E-08
9.3000E+02	2.0679E-08
9.4000E+02	2.0794E-08
9.5000E+02	2.0909E-08
9.6000E+02	2.1024E-08
9.7000E+02	2.1139E-08
9.8000E+02	2.1254E-08
9.9000E+02	2.1369E-08
1.0000E+03	2.1484E-08
1.1000E+03	2.2447E-08
1.2000E+03	2.3411E-08
1.3000E+03	2.4375E-08
1.4000E+03	2.5338E-08
1.5000E+03	2.6302E-08
1.6000E+03	2.7114E-08
1.7000E+03	2.7925E-08
1.8000E+03	2.8737E-08
1.9000E+03	2.9548E-08
2.0000E+03	3.0360E-08
2.1000E+03	3.1010E-08
2.2000E+03	3.1660E-08
2.3000E+03	3.2311E-08
2.4000E+03	3.2961E-08
2.5000E+03	3.3612E-08
2.6000E+03	3.4262E-08
2.7000E+03	3.4913E-08
2.8000E+03	3.5563E-08
2.9000E+03	3.6214E-08
3.0000E+03	3.6864E-08
3.1000E+03	3.7515E-08
3.2000E+03	3.8165E-08
3.3000E+03	3.8815E-08
3.4000E+03	3.9466E-08
3.5000E+03	4.0116E-08
3.6000E+03	4.0635E-08
3.7000E+03	4.1153E-08
3.8000E+03	4.1672E-08
3.9000E+03	4.2190E-08
4.0000E+03	4.2709E-08
4.1000E+03	4.3227E-08
4.2000E+03	4.3746E-08
4.3000E+03	4.4264E-08
4.4000E+03	4.4783E-08
4.5000E+03	4.5301E-08
4.6000E+03	4.5820E-08
4.7000E+03	4.6338E-08
4.8000E+03	4.6857E-08
4.9000E+03	4.7375E-08
5.0000E+03	4.7894E-08
5.1000E+03	4.8320E-08
5.2000E+03	4.8746E-08
5.3000E+03	4.9172E-08
5.4000E+03	4.9598E-08
5.5000E+03	5.0024E-08
5.6000E+03	5.0450E-08
5.7000E+03	5.0877E-08
5.8000E+03	5.1303E-08
5.9000E+03	5.1729E-08
6.0000E+03	5.2155E-08
6.1000E+03	5.2581E-08
6.2000E+03	5.3007E-08
6.3000E+03	5.3433E-08
6.4000E+03	5.3859E-08
6.5000E+03	5.4286E-08
6.6000E+03	5.4712E-08
6.7000E+03	5.5138E-08
6.8000E+03	5.5564E-08
6.9000E+03	5.5990E-08
7.0000E+03	5.6416E-08
7.1000E+03	5.6842E-08
7.2000E+03	5.7268E-08
7.3000E+03	5.7694E-08
7.4000E+03	5.8121E-08
7.5000E+03	5.8547E-08
7.6000E+03	5.8904E-08
7.7000E+03	5.9261E-08
7.8000E+03	5.9618E-08
7.9000E+03	5.9975E-08
8.0000E+03	6.0333E-08
8.1000E+03	6.0690E-08
8.2000E+03	6.1047E-08
8.3000E+03	6.1404E-08
8.4000E+03	6.1761E-08
8.5000E+03	6.2118E-08
8.6000E+03	6.2476E-08
8.7000E+03	6.2833E-08
8.8000E+03	6.3190E-08
8.9000E+03	6.3547E-08
9.0000E+03	6.3904E-08
9.1000E+03	6.4261E-08
9.2000E+03	6.4619E-08
9.3000E+03	6.4976E-08
9.4000E+03	6.5333E-08
9.5000E+03	6.5690E-08
9.6000E+03	6.6047E-08
9.7000E+03	6.6404E-08
9.8000E+03	6.6762E-08
9.9000E+03	6.7119E-08
1.0000E+04	6.7476E-08
1.1000E+04	7.0522E-08
1.2000E+04	7.3568E-08
1.3000E+04	7.6614E-08
1.3750E+04	7.8898E-08
1.4000E+04	7.9555E-08
1.5000E+04	8.2184E-08
1.6000E+04	8.4813E-08
1.7000E+04	8.7442E-08
1.7500E+04	8.8757E-08
1.8000E+04	8.9872E-08
1.9000E+04	9.2102E-08
2.0000E+04	9.4332E-08
2.1000E+04	9.6562E-08
2.2000E+04	9.8793E-08
2.3000E+04	1.0102E-07
2.4000E+04	1.0325E-07
2.5000E+04	1.0548E-07
2.6000E+04	1.0749E-07
2.6204E+04	1.0790E-07
2.6828E+04	1.0913E-07
2.7000E+04	1.0946E-07
2.7466E+04	1.1037E-07
2.8000E+04	1.1140E-07
2.8120E+04	1.1163E-07
2.8789E+04	1.1290E-07
2.9000E+04	1.1330E-07
2.9474E+04	1.1419E-07
3.0000E+04	1.1516E-07
3.0176E+04	1.1549E-07
3.0894E+04	1.1680E-07
3.1000E+04	1.1699E-07
3.1629E+04	1.1812E-07
3.2000E+04	1.1878E-07
3.2382E+04	1.1946E-07
3.3000E+04	1.2054E-07
3.3152E+04	1.2081E-07
3.3941E+04	1.2218E-07
3.4000E+04	1.2228E-07
3.4749E+04	1.2356E-07
3.5000E+04	1.2398E-07
3.5576E+04	1.2495E-07
3.6000E+04	1.2566E-07
3.6423E+04	1.2636E-07
3.7000E+04	1.2731E-07
3.7289E+04	1.2778E-07
3.8000E+04	1.2893E-07
3.8177E+04	1.2922E-07
3.9000E+04	1.3053E-07
3.9085E+04	1.3067E-07
4.0000E+04	1.3211E-07
4.0016E+04	1.3213E-07
4.0968E+04	1.3361E-07
4.1000E+04	1.3366E-07
4.1943E+04	1.3511E-07
4.2000E+04	1.3519E-07
4.2941E+04	1.3662E-07
4.3000E+04	1.3671E-07
4.3963E+04	1.3814E-07
4.4000E+04	1.3820E-07
4.5000E+04	1.3967E-07
4.5009E+04	1.3968E-07
4.6000E+04	1.4112E-07
4.6080E+04	1.4123E-07
4.7000E+04	1.4255E-07
4.7177E+04	1.4280E-07
4.8000E+04	1.4396E-07
4.8300E+04	1.4438E-07
