Incident energy;σ(E)
1.0E-5;20.43608
1.0625E-5;20.43608
1.125E-5;20.43608
1.1875E-5;20.43608
1.25E-5;20.43608
1.375E-5;20.43608
1.5E-5;20.43608
1.625E-5;20.43608
1.75E-5;20.43608
1.875E-5;20.43608
2.0E-5;20.43608
2.1875E-5;20.43608
2.375E-5;20.43608
2.5625E-5;20.43608
2.75E-5;20.43608
2.9375E-5;20.43608
3.125E-5;20.43608
3.3125E-5;20.43608
3.5E-5;20.43608
3.875E-5;20.43608
4.25E-5;20.43608
4.625E-5;20.43608
5.0E-5;20.43608
5.3125E-5;20.43608
5.625E-5;20.43608
5.9375E-5;20.43608
6.25E-5;20.43608
6.875E-5;20.43608
7.5E-5;20.43608
8.125E-5;20.43608
8.75E-5;20.43608
9.375E-5;20.43608
1.0E-4;20.43608
1.0625E-4;20.43608
1.125E-4;20.43608
1.1875E-4;20.43608
1.25E-4;20.43608
1.375E-4;20.43608
1.5E-4;20.43608
1.625E-4;20.43608
1.75E-4;20.43608
1.875E-4;20.43608
2.0E-4;20.43608
2.1875E-4;20.43608
2.375E-4;20.43608
2.5625E-4;20.43608
2.75E-4;20.43608
2.9375E-4;20.43608
3.125E-4;20.43608
3.3125E-4;20.43608
3.5E-4;20.43608
3.875E-4;20.43608
4.25E-4;20.43608
4.625E-4;20.43608
5.0E-4;20.43608
5.3125E-4;20.43608
5.625E-4;20.43608
5.9375E-4;20.43608
6.25E-4;20.43608
6.875E-4;20.43608
7.5E-4;20.43608
8.125E-4;20.43608
8.75E-4;20.43608
9.375E-4;20.43608
0.001;20.43608
0.0010625;20.43608
0.001125;20.43608
0.0011875;20.43608
0.00125;20.43608
0.001375;20.43608
0.0015;20.43608
0.001625;20.43608
0.00175;20.43608
0.001875;20.43608
0.002;20.43608
0.0021875;20.43608
0.002375;20.43608
0.0025625;20.43608
0.00275;20.43608
0.0029375;20.43608
0.003125;20.43608
0.0033125;20.43608
0.0035;20.43608
0.003875;20.43608
0.00425;20.43608
0.004625;20.43608
0.005;20.43608
0.0053125;20.43608
0.005625;20.43608
0.0059375;20.43608
0.00625;20.43608
0.006875;20.43608
0.0075;20.43608
0.008125;20.43608
0.00875;20.43608
0.009375;20.43608
0.01;20.43608
0.010625;20.43608
0.01125;20.43608
0.011875;20.43608
0.0125;20.43608
0.01375;20.43608
0.015;20.43608
0.01625;20.43608
0.0175;20.43608
0.01875;20.43608
0.02;20.43608
0.021325;20.43608
0.02265;20.43608
0.023975;20.43608
0.0253;20.43608
0.02684375;20.43608
0.0283875;20.43608
0.031475;20.43608
0.0345625;20.43608
0.03765;20.43608
0.0407375;20.43608
0.043825;20.43608
0.0469125;20.43608
0.05;20.43608
0.053125;20.43608
0.05625;20.43608
0.059375;20.43608
0.0625;20.43608
0.06875;20.43607
0.075;20.43607
0.08125;20.43607
0.0875;20.43607
0.09375;20.43607
0.1;20.43607
0.10625;20.43607
0.1125;20.43607
0.11875;20.43607
0.125;20.43607
0.1375;20.43606
0.15;20.43606
0.1625;20.43606
0.175;20.43606
0.1875;20.43605
0.2;20.43605
0.21875;20.43605
0.2375;20.43605
0.25625;20.43604
0.275;20.43604
0.29375;20.43604
0.3125;20.43604
0.33125;20.43603
0.35;20.43603
0.3875;20.43603
0.425;20.43602
0.4625;20.43602
0.5;20.43601
0.5625;20.436
0.625;20.436
0.6875;20.43599
0.75;20.43598
0.8125;20.43597
0.875;20.43597
1.0;20.43595
1.125;20.43593
1.25;20.43592
1.375;20.4359
1.5;20.43588
1.625;20.43586
1.75;20.43585
2.0;20.43581
2.1875;20.43579
2.375;20.43576
2.75;20.43571
3.125;20.43566
3.5;20.43561
3.875;20.43556
4.25;20.43551
4.625;20.43546
5.0;20.43541
5.625;20.43533
6.25;20.43524
6.875;20.43516
7.5;20.43507
8.125;20.43499
8.75;20.4349
10.0;20.43473
11.25;20.43456
12.5;20.4344
13.75;20.43423
15.0;20.43406
16.25;20.43389
17.5;20.43373
20.0;20.43339
21.875;20.43314
23.75;20.43289
27.5;20.43238
31.25;20.43188
35.0;20.43137
38.75;20.43087
42.5;20.43036
46.25;20.42986
50.0;20.42935
56.25;20.42851
62.5;20.42767
68.75;20.42683
75.0;20.42599
81.25;20.42515
87.5;20.42431
100.0;20.42263
112.5;20.42095
125.0;20.41927
137.5;20.41759
150.0;20.41591
162.5;20.41423
175.0;20.41255
200.0;20.40919
218.75;20.40668
237.5;20.40417
275.0;20.39915
312.5;20.39413
350.0;20.38911
387.5;20.38409
425.0;20.37907
462.5;20.37405
500.0;20.36903
562.5;20.36071
625.0;20.35239
687.5;20.34407
750.0;20.33576
812.5;20.32744
875.0;20.31912
1000.0;20.30248
1125.0;20.28603
1250.0;20.26958
1375.0;20.25313
1500.0;20.23668
1625.0;20.22022
1750.0;20.20377
2000.0;20.17087
2250.0;20.13845
2500.0;20.10604
2750.0;20.07362
3000.0;20.0412
3250.0;20.00926
3500.0;19.97732
4000.0;19.91343
4500.0;19.85047
5000.0;19.7875
5500.0;19.72545
6000.0;19.66339
6500.0;19.60222
7000.0;19.54105
8000.0;19.42045
9000.0;19.30154
10000.0;19.1843
11000.0;19.06948
12000.0;18.95466
13000.0;18.84296
14000.0;18.73126
16000.0;18.51386
18000.0;18.3022
20000.0;18.09607
22000.0;17.89525
24000.0;17.69954
26000.0;17.50874
28000.0;17.32267
30000.0;17.14116
32500.0;16.92369
35000.0;16.70622
40000.0;16.29635
45000.0;15.90941
50000.0;15.54353
55000.0;15.19701
60000.0;14.86836
65000.0;14.5562
70000.0;14.25932
75000.0;13.97662
80000.0;13.70708
85000.0;13.44982
90000.0;13.20398
95000.0;12.96883
100000.0;12.74368
110000.0;12.32087
120000.0;11.93111
130000.0;11.57061
140000.0;11.23617
150000.0;10.925
160000.0;10.63473
170000.0;10.36329
180000.0;10.10886
190000.0;9.869873
200000.0;9.644929
220000.0;9.232401
240000.0;8.863011
260000.0;8.530176
280000.0;8.228589
300000.0;7.953925
320000.0;7.702627
340000.0;7.471735
360000.0;7.258774
380000.0;7.061654
400000.0;6.878598
420000.0;6.708087
440000.0;6.548815
460000.0;6.399651
480000.0;6.259612
500000.0;6.12784
550000.0;5.829847
600000.0;5.569481
650000.0;5.339611
700000.0;5.134817
750000.0;4.950904
800000.0;4.784576
850000.0;4.633204
900000.0;4.494668
950000.0;4.367238
1000000.0;4.249485
1100000.0;4.03846
1200000.0;3.854177
1300000.0;3.691274
1400000.0;3.545775
1500000.0;3.414663
1600000.0;3.295609
1700000.0;3.186781
1800000.0;3.086717
1900000.0;2.994238
2000000.0;2.908377
2200000.0;2.753447
2400000.0;2.616966
2600000.0;2.495365
2800000.0;2.385998
3000000.0;2.286858
3200000.0;2.196384
3400000.0;2.113344
3600000.0;2.036748
3800000.0;1.965786
4000000.0;1.899792
4200000.0;1.838208
4400000.0;1.780565
4600000.0;1.726461
4800000.0;1.675555
5000000.0;1.627547
5200000.0;1.58218
5400000.0;1.539228
5600000.0;1.49849
5800000.0;1.459791
6000000.0;1.422973
6200000.0;1.387895
6400000.0;1.354432
6600000.0;1.322471
6800000.0;1.291908
7000000.0;1.262652
7500000.0;1.194691
8000000.0;1.133258
8500000.0;1.07744
9000000.0;1.026496
9500000.0;0.979812
1.0E7;0.9368747
1.05E7;0.8972527
1.1E7;0.8605796
1.15E7;0.8265415
1.2E7;0.7948682
1.25E7;0.7653255
1.3E7;0.7377093
1.35E7;0.7118406
1.4E7;0.6875623
1.45E7;0.6647352
1.5E7;0.6432359
1.55E7;0.6229545
1.6E7;0.6037926
1.65E7;0.5856622
1.7E7;0.5684839
1.75E7;0.5521863
1.8E7;0.5367046
1.85E7;0.5219803
