Incident energy;σ(E)
1.0E-5;9.223599
1.0625E-5;9.223599
1.125E-5;9.223599
1.1875E-5;9.223599
1.25E-5;9.223599
1.375E-5;9.223598
1.5E-5;9.223598
1.625E-5;9.223598
1.75E-5;9.223598
1.875E-5;9.223598
2.0E-5;9.223598
2.1875E-5;9.223597
2.375E-5;9.223597
2.5625E-5;9.223597
2.75E-5;9.223596
2.9375E-5;9.223596
3.125E-5;9.223596
3.3125E-5;9.223596
3.5E-5;9.223595
3.875E-5;9.223595
4.25E-5;9.223594
4.625E-5;9.223594
5.0E-5;9.223593
5.3125E-5;9.223593
5.625E-5;9.223592
5.9375E-5;9.223592
6.25E-5;9.223592
6.875E-5;9.223591
7.5E-5;9.22359
8.125E-5;9.223589
8.75E-5;9.223588
9.375E-5;9.223587
1.0E-4;9.223586
1.0625E-4;9.223585
1.125E-4;9.223585
1.1875E-4;9.223584
1.25E-4;9.223583
1.375E-4;9.223581
1.5E-4;9.223579
1.625E-4;9.223578
1.75E-4;9.223576
1.875E-4;9.223574
2.0E-4;9.223572
2.1875E-4;9.22357
2.375E-4;9.223567
2.5625E-4;9.223565
2.75E-4;9.223562
2.9375E-4;9.223559
3.125E-4;9.223557
3.3125E-4;9.223554
3.5E-4;9.223552
3.875E-4;9.223546
4.25E-4;9.223541
4.625E-4;9.223536
5.0E-4;9.223531
5.3125E-4;9.223526
5.625E-4;9.223522
5.9375E-4;9.223518
6.25E-4;9.223513
6.875E-4;9.223505
7.5E-4;9.223496
8.125E-4;9.223487
8.75E-4;9.223478
9.375E-4;9.22347
0.001;9.223461
0.0010625;9.223452
0.001125;9.223444
0.0011875;9.223435
0.00125;9.223426
0.001375;9.223409
0.0015;9.223391
0.001625;9.223374
0.00175;9.223357
0.001875;9.223339
0.002;9.223322
0.0021875;9.223296
0.002375;9.22327
0.0025625;9.223244
0.00275;9.223217
0.0029375;9.223191
0.003125;9.223165
0.0033125;9.223139
0.0035;9.223113
0.003875;9.223061
0.00425;9.223009
0.004625;9.222956
0.005;9.222904
0.0053125;9.222861
0.005625;9.222817
0.0059375;9.222774
0.00625;9.22273
0.006875;9.222643
0.0075;9.222556
0.008125;9.222469
0.00875;9.222382
0.009375;9.222295
0.01;9.222208
0.010625;9.222121
0.01125;9.222034
0.011875;9.221947
0.0125;9.221859
0.01375;9.221685
0.015;9.221511
0.01625;9.221337
0.0175;9.221162
0.01875;9.220988
0.02;9.220814
0.021325;9.220629
0.02265;9.220444
0.023975;9.220259
0.0253;9.220074
0.02684375;9.219859
0.0283875;9.219643
0.031475;9.219212
0.0345625;9.218781
0.03765;9.21835
0.0407375;9.217918
0.043825;9.217486
0.0469125;9.217055
0.05;9.216623
0.053125;9.216185
0.05625;9.215748
0.059375;9.21531
0.0625;9.214872
0.06875;9.213996
0.075;9.213119
0.08125;9.212241
0.0875;9.211363
0.09375;9.210484
0.1;9.209605
0.10625;9.208725
0.1125;9.207844
0.11875;9.206962
0.125;9.20608
0.1375;9.204314
0.15;9.202545
0.1625;9.200773
0.175;9.198998
0.1875;9.197221
0.2;9.195441
0.21875;9.192765
0.2375;9.190083
0.25625;9.187394
0.275;9.184699
0.29375;9.181997
0.3125;9.179288
0.33125;9.176572
0.35;9.173849
0.3875;9.168381
0.425;9.162884
0.4625;9.157356
0.5;9.151798
0.5625;9.142464
0.625;9.133038
0.6875;9.123518
0.75;9.113898
0.8125;9.104175
0.875;9.094346
1.0;9.074351
1.125;9.05388
1.25;9.032895
1.375;9.011358
1.5;8.989229
1.625;8.96646
1.75;8.943005
2.0;8.893812
2.299529;8.830263
2.599058;8.76068
2.898587;8.683688
3.198115;8.597465
3.497644;8.499534
3.797173;8.386429
