E	sigma_t	sigma_s
1.0000E-05	1.1773E+03	1.1605E+03
1.0625E-05	1.1421E+03	1.1259E+03
1.1250E-05	1.1100E+03	1.0942E+03
1.1875E-05	1.0804E+03	1.0650E+03
1.2500E-05	1.0530E+03	1.0380E+03
1.3750E-05	1.0040E+03	9.8975E+02
1.5000E-05	9.6129E+02	9.4763E+02
1.6250E-05	9.2360E+02	9.1047E+02
1.7500E-05	8.9001E+02	8.7736E+02
1.8750E-05	8.5985E+02	8.4763E+02
2.0000E-05	8.3256E+02	8.2073E+02
2.1875E-05	7.9610E+02	7.8478E+02
2.3750E-05	7.6405E+02	7.5319E+02
2.5625E-05	7.3558E+02	7.2513E+02
2.7500E-05	7.1008E+02	6.9999E+02
2.9375E-05	6.8706E+02	6.7729E+02
3.1250E-05	6.6614E+02	6.5668E+02
3.3125E-05	6.4703E+02	6.3784E+02
3.5000E-05	6.2948E+02	6.2053E+02
3.8750E-05	5.9827E+02	5.8977E+02
4.2500E-05	5.7130E+02	5.6318E+02
4.6250E-05	5.4767E+02	5.3989E+02
5.0000E-05	5.2676E+02	5.1928E+02
5.3125E-05	5.1105E+02	5.0379E+02
5.6250E-05	4.9668E+02	4.8962E+02
5.9375E-05	4.8345E+02	4.7658E+02
6.2500E-05	4.7123E+02	4.6453E+02
6.8750E-05	4.4933E+02	4.4295E+02
7.5000E-05	4.3024E+02	4.2413E+02
8.1250E-05	4.1339E+02	4.0752E+02
8.7500E-05	3.9839E+02	3.9273E+02
9.3750E-05	3.8491E+02	3.7944E+02
1.0000E-04	3.7272E+02	3.6743E+02
1.0625E-04	3.6162E+02	3.5648E+02
1.1250E-04	3.5146E+02	3.4647E+02
1.1875E-04	3.4211E+02	3.3726E+02
1.2500E-04	3.3348E+02	3.2874E+02
1.3750E-04	3.1801E+02	3.1350E+02
1.5000E-04	3.0452E+02	3.0020E+02
1.6250E-04	2.9262E+02	2.8847E+02
1.7500E-04	2.8202E+02	2.7802E+02
1.8750E-04	2.7250E+02	2.6864E+02
2.0000E-04	2.6389E+02	2.6015E+02
2.1875E-04	2.5239E+02	2.4881E+02
2.3750E-04	2.4228E+02	2.3885E+02
2.5625E-04	2.3331E+02	2.3000E+02
2.7500E-04	2.2527E+02	2.2208E+02
2.9375E-04	2.1801E+02	2.1492E+02
3.1250E-04	2.1142E+02	2.0843E+02
3.3125E-04	2.0540E+02	2.0249E+02
3.5000E-04	1.9987E+02	1.9704E+02
3.8750E-04	1.9005E+02	1.8736E+02
4.2500E-04	1.8155E+02	1.7899E+02
4.6250E-04	1.7412E+02	1.7166E+02
5.0000E-04	1.6755E+02	1.6518E+02
5.3125E-04	1.6261E+02	1.6031E+02
5.6250E-04	1.5809E+02	1.5586E+02
5.9375E-04	1.5394E+02	1.5176E+02
6.2500E-04	1.5010E+02	1.4798E+02
6.8750E-04	1.4323E+02	1.4121E+02
7.5000E-04	1.3724E+02	1.3531E+02
8.1250E-04	1.3196E+02	1.3010E+02
8.7500E-04	1.2726E+02	1.2547E+02
9.3750E-04	1.2305E+02	1.2132E+02
1.0000E-03	1.1923E+02	1.1756E+02
1.0625E-03	1.1576E+02	1.1414E+02
1.1250E-03	1.1259E+02	1.1101E+02
1.1875E-03	1.0968E+02	1.0814E+02
1.2500E-03	1.0698E+02	1.0549E+02
1.3750E-03	1.0217E+02	1.0074E+02
1.5000E-03	9.7971E+01	9.6604E+01
1.6250E-03	9.4275E+01	9.2962E+01
1.7500E-03	9.0988E+01	8.9723E+01
1.8750E-03	8.8040E+01	8.6818E+01
2.0000E-03	8.5378E+01	8.4194E+01
2.1875E-03	8.1827E+01	8.0696E+01
2.3750E-03	7.8713E+01	7.7628E+01
2.5625E-03	7.5954E+01	7.4909E+01
2.7500E-03	7.3489E+01	7.2479E+01
2.9375E-03	7.1268E+01	7.0292E+01
3.1250E-03	6.9255E+01	6.8308E+01
3.3125E-03	6.7420E+01	6.6500E+01
3.5000E-03	6.5738E+01	6.4844E+01
3.8750E-03	6.2759E+01	6.1909E+01
4.2500E-03	6.0196E+01	5.9384E+01
4.6250E-03	5.7961E+01	5.7183E+01
5.0000E-03	5.5992E+01	5.5244E+01
5.3125E-03	5.4519E+01	5.3793E+01
5.6250E-03	5.3176E+01	5.2471E+01
