E	sigma_t	sigma_s
1.00000000E-05	1.69765800E+02	3.51705900E+01
1.06250000E-05	1.64759900E+02	3.41832800E+01
1.12500000E-05	1.60178800E+02	3.32811500E+01
1.18750000E-05	1.55965900E+02	3.24527600E+01
1.25000000E-05	1.52074500E+02	3.16887300E+01
1.37500000E-05	1.45107200E+02	3.03238700E+01
1.50000000E-05	1.39034500E+02	2.91378300E+01
1.62500000E-05	1.33680700E+02	2.80953100E+01
1.75000000E-05	1.28914600E+02	2.71700400E+01
1.87500000E-05	1.24636600E+02	2.63419900E+01
2.00000000E-05	1.20769000E+02	2.55956000E+01
2.18750000E-05	1.15606100E+02	2.46029100E+01
2.37500000E-05	1.11072200E+02	2.37350100E+01
2.56250000E-05	1.07049700E+02	2.29684200E+01
2.75000000E-05	1.03449700E+02	2.22853700E+01
2.93750000E-05	1.00203400E+02	2.16721400E+01
3.12500000E-05	9.72568700E+01	2.11179700E+01
3.31250000E-05	9.45669200E+01	2.06142500E+01
3.50000000E-05	9.20986000E+01	2.01540500E+01
3.87500000E-05	8.77172400E+01	1.93423800E+01
4.25000000E-05	8.39367500E+01	1.86480300E+01
4.62500000E-05	8.06322400E+01	1.80462700E+01
5.00000000E-05	7.77123400E+01	1.75190300E+01
5.31250000E-05	7.55228600E+01	1.71267400E+01
5.62500000E-05	7.35215000E+01	1.67706400E+01
5.93750000E-05	7.16830500E+01	1.64457800E+01
6.25000000E-05	6.99867600E+01	1.61481000E+01
6.87500000E-05	6.69545300E+01	1.56213300E+01
7.50000000E-05	6.43171500E+01	1.51692900E+01
8.12500000E-05	6.19966200E+01	1.47768400E+01
8.75000000E-05	5.99348700E+01	1.44327000E+01
9.37500000E-05	5.80876800E+01	1.41283600E+01
1.00000000E-04	5.64206700E+01	1.38572000E+01
1.06250000E-04	5.49067000E+01	1.36140200E+01
1.12500000E-04	5.35239900E+01	1.33946900E+01
1.18750000E-04	5.22548700E+01	1.31958300E+01
1.25000000E-04	5.10847800E+01	1.30147000E+01
1.37500000E-04	4.89953900E+01	1.26969300E+01
1.50000000E-04	4.71804500E+01	1.24272600E+01
1.62500000E-04	4.55854300E+01	1.21955800E+01
1.75000000E-04	4.41697600E+01	1.19944400E+01
1.87500000E-04	4.29025900E+01	1.18182300E+01
2.00000000E-04	4.17599600E+01	1.16626100E+01
2.18750000E-04	4.02392700E+01	1.14606300E+01
2.37500000E-04	3.89082800E+01	1.12889400E+01
2.56250000E-04	3.77310200E+01	1.11412800E+01
2.75000000E-04	3.66803100E+01	1.10130000E+01
2.93750000E-04	3.57352400E+01	1.09005500E+01
3.12500000E-04	3.48793800E+01	1.08012200E+01
3.31250000E-04	3.40996700E+01	1.07128500E+01
3.50000000E-04	3.33855600E+01	1.06337600E+01
3.87500000E-04	3.21211200E+01	1.04981500E+01
4.25000000E-04	3.10332100E+01	1.03861700E+01
4.62500000E-04	3.00845400E+01	1.02921700E+01
5.00000000E-04	2.92479200E+01	1.02121800E+01
5.31250000E-04	2.86215300E+01	1.01541100E+01
5.62500000E-04	2.80496100E+01	1.01024600E+01
5.93750000E-04	2.75247500E+01	1.00562300E+01
6.25000000E-04	2.70408600E+01	1.00146200E+01
6.87500000E-04	2.61766900E+01	9.94272000E+00
7.50000000E-04	2.54257300E+01	9.88279400E+00
8.12500000E-04	2.47653500E+01	9.83208100E+00
8.75000000E-04	2.41787600E+01	9.78860900E+00
9.37500000E-04	2.36532500E+01	9.75093200E+00
1.00000000E-03	2.31789300E+01	9.71796300E+00
1.06250000E-03	2.27480300E+01	9.68887200E+00
1.12500000E-03	2.23543400E+01	9.66301200E+00
1.18750000E-03	2.19928100E+01	9.63987300E+00
1.25000000E-03	2.16593000E+01	9.61904700E+00
1.37500000E-03	2.10632000E+01	9.58307300E+00
1.50000000E-03	2.05446500E+01	9.55309100E+00
1.62500000E-03	2.00882300E+01	9.52772000E+00
1.75000000E-03	1.96824800E+01	9.50597000E+00
1.87500000E-03	1.93186800E+01	9.48711800E+00
2.00000000E-03	1.89901100E+01	9.47062000E+00
2.18750000E-03	1.85519500E+01	9.44940500E+00
2.37500000E-03	1.81675500E+01	9.43153600E+00
2.56250000E-03	1.78268000E+01	9.41627800E+00
