,phi0,phi2,Phi0,Phi2,phi_ref
0,9.898459348844298e-11,-2.680398118960429e-14,9.893098552606377e-11,-2.680398118960429e-14,1.025257369581323e-10
1,1.0839481266820229e-10,-3.765558875554822e-14,1.0831950149069119e-10,-3.765558875554822e-14,1.1253104518019567e-10
2,1.184010386419846e-10,-3.5831604193239524e-14,1.1832937543359813e-10,-3.5831604193239524e-14,1.231764180892341e-10
3,1.2917396054107827e-10,-3.5773928517069566e-14,1.2910241268404414e-10,-3.5773928517069566e-14,1.346585529755717e-10
4,1.378730999381232e-10,-3.625920519741065e-14,1.3780058152772838e-10,-3.625920519741065e-14,1.4698907828893949e-10
5,1.435667933514269e-10,-3.6889903567968107e-14,1.4349301354429098e-10,-3.6889903567968107e-14,1.5288424003701366e-10
6,1.490407194606447e-10,-3.697342861819006e-14,1.4896677260340833e-10,-3.697342861819006e-14,1.5851290934950296e-10
7,1.5421183708665448e-10,-3.701739417651289e-14,1.5413780229830145e-10,-3.701739417651289e-14,1.6374070072464929e-10
8,1.5903690347769445e-10,-3.717809301608091e-14,1.589625472916623e-10,-3.717809301608091e-14,1.6846208746424775e-10
9,1.636638498739926e-10,-3.721269694553225e-14,1.6358942448010153e-10,-3.721269694553225e-14,1.7305984641414785e-10
10,1.683042501208967e-10,-3.730899819285618e-14,1.68229632124511e-10,-3.730899819285618e-14,1.7763853747200564e-10
11,1.7337124684214736e-10,-3.741804047608712e-14,1.732964107611952e-10,-3.741804047608712e-14,1.8267755227354094e-10
12,1.7843918645268047e-10,-3.7489496367013013e-14,1.7836420745994644e-10,-3.7489496367013013e-14,1.877342804249791e-10
13,1.8349520996838381e-10,-3.756914631162292e-14,1.8342007167576057e-10,-3.756914631162292e-14,1.9278732808960279e-10
14,1.8855722807830931e-10,-3.762864499972863e-14,1.8848197078830986e-10,-3.762864499972863e-14,1.9784994058727472e-10
15,1.9361008982291087e-10,-3.765202698337582e-14,1.9353478576894412e-10,-3.765202698337582e-14,2.029052380363283e-10
16,1.9895082915514683e-10,-3.777484375850106e-14,1.9887527946762982e-10,-3.777484375850106e-14,2.0822553272282397e-10
17,2.046624632933327e-10,-3.7904887430091704e-14,2.045866535184725e-10,-3.7904887430091704e-14,2.1394630798510918e-10
18,2.1038627266473413e-10,-3.8039582193831847e-14,2.1031019350034648e-10,-3.8039582193831847e-14,2.1968031308174698e-10
19,2.1612244875826291e-10,-3.8065252013949685e-14,2.1604631825423502e-10,-3.8065252013949685e-14,2.2542803013875384e-10
20,2.2188484358337267e-10,-3.7974971115489056e-14,2.2180889364114168e-10,-3.7974971115489056e-14,2.311954154022459e-10
21,2.276204488005604e-10,-3.8099554814626145e-14,2.2754424969093116e-10,-3.8099554814626145e-14,2.369230422267259e-10
22,2.3398979747579645e-10,-3.825812837060827e-14,2.3391328121905526e-10,-3.825812837060827e-14,2.433052560573812e-10
23,2.4058477922234456e-10,-3.8403609628667766e-14,2.405079720030872e-10,-3.8403609628667766e-14,2.499209630518634e-10
24,2.471863897548324e-10,-3.8468289284467866e-14,2.4710945317626345e-10,-3.8468289284467866e-14,2.56543742227686e-10
25,2.5383186546207697e-10,-3.8579367501577155e-14,2.537547067270738e-10,-3.8579367501577155e-14,2.632150332217631e-10
26,2.604566590389228e-10,-3.865095603870844e-14,2.6037935712684535e-10,-3.865095603870844e-14,2.6984772349112485e-10
27,2.670971557705154e-10,-3.8729016436799216e-14,2.670196977376418e-10,-3.8729016436799216e-14,2.7651472899935097e-10
28,2.7455393849407305e-10,-3.888918768809639e-14,2.744761601186969e-10,-3.888918768809639e-14,2.8398043721887214e-10
29,2.819965532069482e-10,-3.896969956437008e-14,2.8191861380781946e-10,-3.896969956437008e-14,2.9145344451919155e-10
30,2.8948141860109436e-10,-3.906204742193878e-14,2.8940329450625046e-10,-3.906204742193878e-14,2.9896971083545754e-10
31,2.970031690864847e-10,-3.911863446392228e-14,2.9692493181755686e-10,-3.911863446392228e-14,3.0652193327288884e-10
32,3.044995939200236e-10,-3.92875447062658e-14,3.044210188306111e-10,-3.92875447062658e-14,3.1402257364347406e-10
33,3.1236074991079635e-10,-3.93133107069535e-14,3.1228212328938247e-10,-3.93133107069535e-14,3.218995078220274e-10
34,3.2075214104646074e-10,-3.945654539873269e-14,3.206732279556633e-10,-3.945654539873269e-14,3.3032336203810037e-10
35,3.2913088000267616e-10,-3.957735851762071e-14,3.290517252856409e-10,-3.957735851762071e-14,3.3876248869448964e-10
36,3.3758019245649306e-10,-3.97059786593513e-14,3.375007804991744e-10,-3.97059786593513e-14,3.472510852256458e-10
37,3.4606108371438774e-10,-3.983929234336194e-14,3.45981405129701e-10,-3.983929234336194e-14,3.5573122265129463e-10
38,3.544713347202091e-10,-3.991808242983274e-14,3.5439149855534945e-10,-3.991808242983274e-14,3.6418034404115877e-10
39,3.6366417105097927e-10,-4.009292018024645e-14,3.6358398521061876e-10,-4.009292018024645e-14,3.733756271185198e-10
40,3.729609745809185e-10,-4.0159744309607545e-14,3.728806550922993e-10,-4.0159744309607545e-14,3.827423348956158e-10
41,3.8233227043626983e-10,-4.0275010015777675e-14,3.822517204162383e-10,-4.0275010015777675e-14,3.9212481884816356e-10
42,3.9169216139886093e-10,-4.03957345783453e-14,3.9161136992970423e-10,-4.03957345783453e-14,4.0156552495216876e-10
43,4.0108397920862904e-10,-4.0528242901921674e-14,4.010029227228252e-10,-4.0528242901921674e-14,4.1094925044165353e-10
44,4.104675284221866e-10,-4.06348572962782e-14,4.103862587075941e-10,-4.06348572962782e-14,4.203830399813554e-10
45,4.209359269664697e-10,-4.074182827396423e-14,4.208544433099218e-10,-4.074182827396423e-14,4.308649331063653e-10
46,4.3130855409824917e-10,-4.088265775297077e-14,4.3122678878274323e-10,-4.088265775297077e-14,4.4131985150411357e-10
47,4.418026758178509e-10,-4.099908837296146e-14,4.4172067764110494e-10,-4.099908837296146e-14,4.518280266455214e-10
48,4.5226485933016603e-10,-4.116566958521124e-14,4.521825279909956e-10,-4.116566958521124e-14,4.6238086003373864e-10
49,4.6276052455764565e-10,-4.1210628224567415e-14,4.626781033011965e-10,-4.1210628224567415e-14,4.728562312492811e-10
50,4.736096864613175e-10,-4.1396920764175944e-14,4.735268926197891e-10,-4.1396920764175944e-14,4.837777608784405e-10
51,4.852070656044722e-10,-4.153003966618034e-14,4.851240055251399e-10,-4.153003966618034e-14,4.954323666528005e-10
52,4.968380419591152e-10,-4.1718417543392956e-14,4.967546051240284e-10,-4.1718417543392956e-14,5.070762278777607e-10
53,5.084379176609094e-10,-4.1840262596876015e-14,5.083542371357157e-10,-4.1840262596876015e-14,5.18778683772918e-10
54,5.201441765533516e-10,-4.1994442140108615e-14,5.200601876690714e-10,-4.1994442140108615e-14,5.30491567275508e-10
55,5.316479921321619e-10,-4.208316625771448e-14,5.315638257996465e-10,-4.208316625771448e-14,5.420680130981116e-10
56,5.441277235811679e-10,-4.2228978406895674e-14,5.44043265624354e-10,-4.2228978406895674e-14,5.545622840958595e-10
57,5.569167745607055e-10,-4.2399833034838085e-14,5.568319748946357e-10,-4.2399833034838085e-14,5.674723753988386e-10
58,5.697851348265249e-10,-4.248504958095027e-14,5.69700164727363e-10,-4.248504958095027e-14,5.803666517989291e-10
59,5.826222944394042e-10,-4.271452534895198e-14,5.825368653887063e-10,-4.271452534895198e-14,5.933292972895997e-10
60,5.955962159235968e-10,-4.287225504291342e-14,5.955104714135109e-10,-4.287225504291342e-14,6.063023275769349e-10
61,6.084458635875875e-10,-4.2978393503034665e-14,6.083599068005815e-10,-4.2978393503034665e-14,6.19237161740761e-10
62,6.226066972144177e-10,-4.314271316903353e-14,6.225204117880796e-10,-4.314271316903353e-14,6.33418233401802e-10
63,6.366651927937462e-10,-4.333175901412802e-14,6.365785292757179e-10,-4.333175901412802e-14,6.475993967411909e-10
64,6.507704364094465e-10,-4.3520339113512656e-14,6.506833957312195e-10,-4.3520339113512656e-14,6.617161575906087e-10
65,6.648592465888844e-10,-4.364179301289008e-14,6.647719630028586e-10,-4.364179301289008e-14,6.758737174267769e-10
66,6.789010341474249e-10,-4.380955371746196e-14,6.7881341503999e-10,-4.380955371746196e-14,6.900049802764141e-10
67,6.93471319507472e-10,-4.397795115983905e-14,6.933833636051524e-10,-4.397795115983905e-14,7.045620127053765e-10
68,7.0888870526493e-10,-4.417788874085294e-14,7.088003494874483e-10,-4.417788874085294e-14,7.200554043600701e-10
69,7.242995858052462e-10,-4.4301815496886324e-14,7.242109821742525e-10,-4.4301815496886324e-14,7.356105223210851e-10
70,7.398264728467591e-10,-4.456060722186966e-14,7.397373516323154e-10,-4.456060722186966e-14,7.511642505985e-10
71,7.553044388005106e-10,-4.466654038283153e-14,7.552151057197449e-10,-4.466654038283153e-14,7.667233014000828e-10
72,7.708093589786734e-10,-4.487634671835714e-14,7.707196062852366e-10,-4.487634671835714e-14,7.822833623561018e-10
73,7.872411502779117e-10,-4.507010656388838e-14,7.871510100647839e-10,-4.507010656388838e-14,7.988720772317789e-10
74,8.042769103951358e-10,-4.5300721765732926e-14,8.041863089516044e-10,-4.5300721765732926e-14,8.15940523631954e-10
75,8.213210418032711e-10,-4.5508128707758686e-14,8.212300255458556e-10,-4.5508128707758686e-14,8.330857268415869e-10
76,8.38430983483661e-10,-4.573863091564603e-14,8.383395062218297e-10,-4.573863091564603e-14,8.503017527818489e-10
77,8.553753256735144e-10,-4.596189495397427e-14,8.552834018836065e-10,-4.596189495397427e-14,8.673917540983543e-10
78,8.724808216621377e-10,-4.611708877707633e-14,8.723885874845835e-10,-4.611708877707633e-14,8.844763689321608e-10
79,8.910772045426588e-10,-4.6380511349831516e-14,8.909844435199591e-10,-4.6380511349831516e-14,9.031773855640212e-10
80,9.096392168668846e-10,-4.6583885786711654e-14,9.095460490953111e-10,-4.6583885786711654e-14,9.218410132844517e-10
81,9.281535935199531e-10,-4.6815272028535846e-14,9.28059962975896e-10,-4.6815272028535846e-14,9.405451809496685e-10
82,9.469069837880508e-10,-4.705172371812404e-14,9.468128803406145e-10,-4.705172371812404e-14,9.59332585998257e-10
83,9.655703725896866e-10,-4.73404346580979e-14,9.654756917203703e-10,-4.73404346580979e-14,9.780583382569916e-10
84,9.84605678789624e-10,-4.760169684696918e-14,9.8451047539593e-10,-4.760169684696918e-14,9.972609855944557e-10
85,1.0049217896369812e-09,-4.7864016756414116e-14,1.0048260616034685e-09,-4.7864016756414116e-14,1.0176066357657974e-09
86,1.0252325381159133e-09,-4.810376733037749e-14,1.0251363305812526e-09,-4.810376733037749e-14,1.0380305805225553e-09
87,1.0455246176383297e-09,-4.838214935965128e-14,1.0454278533396103e-09,-4.838214935965128e-14,1.058448196297314e-09
88,1.0657943297690077e-09,-4.8671224200239974e-14,1.0656969873206073e-09,-4.8671224200239974e-14,1.0789293613306424e-09
89,1.0862870739415931e-09,-4.8926860305830427e-14,1.0861892202209815e-09,-4.8926860305830427e-14,1.0994090112512753e-09
90,1.107750143029719e-09,-4.9204809973909997e-14,1.107651733409771e-09,-4.9204809973909997e-14,1.1209873917494794e-09
91,1.1298121683256835e-09,-4.951795577680085e-14,1.1297131324141298e-09,-4.951795577680085e-14,1.1431826993603276e-09
92,1.1518618961312033e-09,-4.9790008295129595e-14,1.151762316114613e-09,-4.9790008295129595e-14,1.1654708328694741e-09
93,1.174209230112252e-09,-5.0105824429948967e-14,1.174109018463392e-09,-5.0105824429948967e-14,1.1878581852247826e-09
94,1.1963064474001501e-09,-5.040995924701826e-14,1.196205627481656e-09,-5.040995924701826e-14,1.2100573027492928e-09
95,1.2183906859607585e-09,-5.069208137849686e-14,1.2182893017980015e-09,-5.069208137849686e-14,1.2322205465274582e-09
96,1.24218146663272e-09,-5.106358809029863e-14,1.2420793394565395e-09,-5.106358809029863e-14,1.2562618281197259e-09
97,1.2662178109071485e-09,-5.134760310919816e-14,1.2661151157009301e-09,-5.134760310919816e-14,1.280324795803555e-09
98,1.2900859413704904e-09,-5.166359442703534e-14,1.2899826141816362e-09,-5.166359442703534e-14,1.3043359987589299e-09
99,1.3139240598312e-09,-5.2002604730615686e-14,1.3138200546217388e-09,-5.2002604730615686e-14,1.3284477790432837e-09
100,1.3380446788450785e-09,-5.2303283093733435e-14,1.337940072278891e-09,-5.2303283093733435e-14,1.3525437305462761e-09
101,1.3624900299240097e-09,-5.267053784140474e-14,1.3623846888483268e-09,-5.267053784140474e-14,1.3770893842569376e-09
102,1.3882142509989995e-09,-5.2992059311116207e-14,1.3881082668803773e-09,-5.2992059311116207e-14,1.4029648941242451e-09
103,1.4139029084258414e-09,-5.3344621607214105e-14,1.413796219182627e-09,-5.3344621607214105e-14,1.4289338928419576e-09
104,1.4399274980487217e-09,-5.371520165270325e-14,1.4398200676454163e-09,-5.371520165270325e-14,1.4549893317750163e-09
105,1.465704394085365e-09,-5.404051356578057e-14,1.4655963130582334e-09,-5.404051356578057e-14,1.4809085389488066e-09
106,1.4915031575790873e-09,-5.4378144830178723e-14,1.4913944012894268e-09,-5.4378144830178723e-14,1.5068055858380226e-09
107,1.5184084747488112e-09,-5.471439321559531e-14,1.51829904596238e-09,-5.471439321559531e-14,1.5339873506231306e-09
108,1.5462348061648921e-09,-5.511468288360046e-14,1.546124576799125e-09,-5.511468288360046e-14,1.561833834649231e-09
109,1.5737523523636816e-09,-5.546944179763213e-14,1.5736414134800864e-09,-5.546944179763213e-14,1.5895067014186834e-09
110,1.6013498289151993e-09,-5.5847214070786546e-14,1.6012381344870577e-09,-5.5847214070786546e-14,1.6172660909462734e-09
111,1.6288451787024175e-09,-5.615799629429294e-14,1.628732862709829e-09,-5.615799629429294e-14,1.6450327259692473e-09
112,1.6566137645607936e-09,-5.655109944181141e-14,1.65650066236191e-09,-5.655109944181141e-14,1.672749961700753e-09
113,1.6861260280975187e-09,-5.697028753742702e-14,1.6860120875224438e-09,-5.697028753742702e-14,1.7024326753829155e-09
114,1.7158114861225604e-09,-5.730904825544333e-14,1.7156968680260496e-09,-5.730904825544333e-14,1.7322936197140565e-09
115,1.7454429967341218e-09,-5.772068725902322e-14,1.7453275553596037e-09,-5.772068725902322e-14,1.7622671402294132e-09
116,1.7751073213424283e-09,-5.812735125393569e-14,1.7749910666399203e-09,-5.812735125393569e-14,1.791948131471134e-09
117,1.8043206464712227e-09,-5.844469134287393e-14,1.804203757088537e-09,-5.844469134287393e-14,1.82125508865428e-09
118,1.8338624518044057e-09,-5.877989745849263e-14,1.8337448920094887e-09,-5.877989745849263e-14,1.8510710416997093e-09
119,1.8651761155745875e-09,-5.919030988449238e-14,1.8650577349548187e-09,-5.919030988449238e-14,1.8823621703377305e-09
120,1.8961686273212343e-09,-5.95385777183776e-14,1.8960495501657973e-09,-5.95385777183776e-14,1.913496813069468e-09
121,1.9271405801314366e-09,-5.99124153203023e-14,1.927020755300796e-09,-5.99124153203023e-14,1.9446330368367815e-09
122,1.95798571231553e-09,-6.027581828463773e-14,1.9578651606789605e-09,-6.027581828463773e-14,1.975813917291697e-09
123,1.989189458673637e-09,-6.063056927923602e-14,1.9890681975350786e-09,-6.063056927923602e-14,2.006941865543883e-09
124,2.021658683243175e-09,-6.106510036408864e-14,2.021536553042447e-09,-6.106510036408864e-14,2.0397490758645702e-09
125,2.055466391466361e-09,-6.152100626031619e-14,2.0553433494538402e-09,-6.152100626031619e-14,2.073549276401157e-09
126,2.088975934436534e-09,-6.200236730614099e-14,2.0888519297019217e-09,-6.200236730614099e-14,2.1074260583191924e-09
127,2.1229483626946775e-09,-6.243497737854116e-14,2.1228234927399203e-09,-6.243497737854116e-14,2.1413863414145314e-09
128,2.1563686973986606e-09,-6.285140634768699e-14,2.1562429945859653e-09,-6.285140634768699e-14,2.175152767905496e-09
129,2.189874952557957e-09,-6.329820119465399e-14,2.1897483561555676e-09,-6.329820119465399e-14,2.2087840164640577e-09
130,2.2256269407808274e-09,-6.380147937907338e-14,2.225499337822069e-09,-6.380147937907338e-14,2.244520188941277e-09
131,2.261189866155094e-09,-6.424813977315941e-14,2.2610613698755475e-09,-6.424813977315941e-14,2.2804840572396283e-09
132,2.296525401993758e-09,-6.469540235140331e-14,2.296396011189055e-09,-6.469540235140331e-14,2.3160105224261348e-09
133,2.3317588385785038e-09,-6.511234048305411e-14,2.3316286138975377e-09,-6.511234048305411e-14,2.351196132308537e-09
134,2.366529624768417e-09,-6.552093827716145e-14,2.3663985828918626e-09,-6.552093827716145e-14,2.3862816872499136e-09
135,2.4019783397840964e-09,-6.593461353572566e-14,2.401846470557025e-09,-6.593461353572566e-14,2.4218422644944876e-09
136,2.4392023861910853e-09,-6.641759885662158e-14,2.439069550993372e-09,-6.641759885662158e-14,2.4590134958280294e-09
137,2.476052763920386e-09,-6.686478926538301e-14,2.475919034341855e-09,-6.686478926538301e-14,2.496300413106349e-09
138,2.5134863951552866e-09,-6.728746839951196e-14,2.5133518202184874e-09,-6.728746839951196e-14,2.533727762861132e-09
139,2.5505837108246857e-09,-6.774340497945557e-14,2.550448224014727e-09,-6.774340497945557e-14,2.5712746509273346e-09
140,2.587932940059952e-09,-6.821503996856486e-14,2.587796509980015e-09,-6.821503996856486e-14,2.608799319489283e-09
141,2.6265730220915855e-09,-6.871648750640877e-14,2.6264355891165726e-09,-6.871648750640877e-14,2.6473878085698753e-09
142,2.6656534646688844e-09,-6.918353954301687e-14,2.665515097589798e-09,-6.918353954301687e-14,2.686931464300075e-09
143,2.7050583028000143e-09,-6.96407356372312e-14,2.70491902132874e-09,-6.96407356372312e-14,2.7265662070780315e-09
144,2.7448285918869814e-09,-7.011092976913271e-14,2.7446883700274433e-09,-7.011092976913271e-14,2.766299595462751e-09
145,2.783844569524128e-09,-7.059410800885988e-14,2.7837033813081104e-09,-7.059410800885988e-14,2.805727214212765e-09
146,2.82321246326372e-09,-7.105385287471194e-14,2.823070355557971e-09,-7.105385287471194e-14,2.8449378179429165e-09
147,2.864046684790354e-09,-7.154681599098717e-14,2.863903591158372e-09,-7.154681599098717e-14,2.886193532766395e-09
148,2.905314467099955e-09,-7.203011219114077e-14,2.9051704068755727e-09,-7.203011219114077e-14,2.9276345250890757e-09
149,2.9467494917187597e-09,-7.252167776092319e-14,2.9466044483632378e-09,-7.252167776092319e-14,2.968989537297368e-09
150,2.9874117346453046e-09,-7.299818380616614e-14,2.9872657382776923e-09,-7.299818380616614e-14,3.0101310131804122e-09
151,3.0283423322593745e-09,-7.347546811601668e-14,3.0281953813231424e-09,-7.347546811601668e-14,3.0512104373994494e-09
152,3.0700664228653004e-09,-7.393272532294189e-14,3.0699185574146543e-09,-7.393272532294189e-14,3.0927879386023815e-09
153,3.1129386003264884e-09,-7.443058977184887e-14,3.112789739146945e-09,-7.443058977184887e-14,3.1361602501880927e-09
154,3.1560328633708886e-09,-7.494195818471853e-14,3.155882979454519e-09,-7.494195818471853e-14,3.179480306002077e-09
155,3.199492877381609e-09,-7.546972342567689e-14,3.1993419379347577e-09,-7.546972342567689e-14,3.222851151352728e-09
156,3.24240713323039e-09,-7.596246026814831e-14,3.242255208309854e-09,-7.596246026814831e-14,3.2662713111868226e-09
157,3.285915765109087e-09,-7.642874485888879e-14,3.285762907619369e-09,-7.642874485888879e-14,3.3096208161410444e-09
158,3.3299176693858967e-09,-7.695039678496465e-14,3.3297637685923267e-09,-7.695039678496465e-14,3.3541135433560725e-09
159,3.374956142350697e-09,-7.74844245964687e-14,3.374801173501504e-09,-7.74844245964687e-14,3.399381494817806e-09
160,3.4203896579368603e-09,-7.800248792844165e-14,3.4202336529610036e-09,-7.800248792844165e-14,3.4447191041450535e-09
161,3.4652566941623307e-09,-7.85316370910473e-14,3.4650996308881485e-09,-7.85316370910473e-14,3.4901358833687443e-09
162,3.5104720828483277e-09,-7.904015807147058e-14,3.510314002532185e-09,-7.904015807147058e-14,3.5355606568546716e-09
163,3.555782999628795e-09,-7.953871013825836e-14,3.5556239222085183e-09,-7.953871013825836e-14,3.5806890877958514e-09
164,3.602281733291099e-09,-8.005488107613029e-14,3.602121623528947e-09,-8.005488107613029e-14,3.627741656706416e-09
165,3.6494152604971397e-09,-8.057789082881303e-14,3.649254104715482e-09,-8.057789082881303e-14,3.6751211632373924e-09
166,3.6969912348848745e-09,-8.111266535582084e-14,3.6968290095541628e-09,-8.111266535582084e-14,3.7225769800517194e-09
167,3.7439506060755e-09,-8.163978262282454e-14,3.743787326510254e-09,-8.163978262282454e-14,3.770134413438374e-09
168,3.7915252216930715e-09,-8.219168218434304e-14,3.791360838328703e-09,-8.219168218434304e-14,3.8174768764371136e-09
169,3.838694453313382e-09,-8.270348843890016e-14,3.838529046336504e-09,-8.270348843890016e-14,3.865077817722834e-09
170,3.887784017793152e-09,-8.327739625642135e-14,3.887617463000639e-09,-8.327739625642135e-14,3.914310022174187e-09
171,3.937143899606624e-09,-8.381239654431701e-14,3.9369762748135355e-09,-8.381239654431701e-14,3.963417081426029e-09
172,3.985709470739267e-09,-8.43841739184213e-14,3.98554070239143e-09,-8.43841739184213e-14,4.012527228803489e-09
173,4.034267104387251e-09,-8.490929700847183e-14,4.034097285793234e-09,-8.490929700847183e-14,4.061281502320341e-09
174,4.083139204544599e-09,-8.546165787565722e-14,4.082968281228847e-09,-8.546165787565722e-14,4.109886119141292e-09
175,4.132392265700842e-09,-8.600475054178031e-14,4.1322202561997585e-09,-8.600475054178031e-14,4.159692544848869e-09
176,4.1834571661717866e-09,-8.656116150961042e-14,4.183284043848767e-09,-8.656116150961042e-14,4.210583207096041e-09
177,4.233814645738258e-09,-8.71278254023478e-14,4.233640390087453e-09,-8.71278254023478e-14,4.2615508510085585e-09
178,4.28407463446505e-09,-8.768112036411915e-14,4.283899272224321e-09,-8.768112036411915e-14,4.3120473696972485e-09
179,4.334709979025669e-09,-8.823484115397877e-14,4.334533509343361e-09,-8.823484115397877e-14,4.362467745229038e-09
180,4.384476743155948e-09,-8.875684103248543e-14,4.384299229473883e-09,-8.875684103248543e-14,4.412784210208898e-09
181,4.436577853581307e-09,-8.934338853600381e-14,4.436399166804235e-09,-8.934338853600381e-14,4.465112506094849e-09
182,4.489474773331319e-09,-8.987330306777179e-14,4.4892950267251835e-09,-8.987330306777179e-14,4.5178200718511265e-09
183,4.541596141073779e-09,-9.045918381738669e-14,4.541415222706144e-09,-9.045918381738669e-14,4.570567054772363e-09
184,4.594131849981695e-09,-9.102959226734283e-14,4.59394979079716e-09,-9.102959226734283e-14,4.623327427380147e-09
185,4.647074548578576e-09,-9.164298717786215e-14,4.64689126260422e-09,-9.164298717786215e-14,4.6759603587555394e-09
186,4.699448452365611e-09,-9.223662310923463e-14,4.699263979119392e-09,-9.223662310923463e-14,4.728889853159546e-09
187,4.754493122912738e-09,-9.280987339529739e-14,4.754307503165948e-09,-9.280987339529739e-14,4.783718397622339e-09
188,4.8083021732613035e-09,-9.337686146052414e-14,4.808115419538383e-09,-9.337686146052414e-14,4.838172914033477e-09
189,4.862331741161496e-09,-9.399004596878397e-14,4.862143761069559e-09,-9.399004596878397e-14,4.892433652634055e-09
190,4.916850738663496e-09,-9.454526044377488e-14,4.916661648142609e-09,-9.454526044377488e-14,4.946714687782019e-09
191,4.970420984337923e-09,-9.512851602241839e-14,4.970230727305878e-09,-9.512851602241839e-14,5.000890663984625e-09
192,5.0255075849628474e-09,-9.574417287124517e-14,5.025316096617105e-09,-9.574417287124517e-14,5.056194421355476e-09
193,5.082175405674567e-09,-9.632137828710179e-14,5.081982762917993e-09,-9.632137828710179e-14,5.112609359050891e-09
194,5.137918001992855e-09,-9.695045835465428e-14,5.1377241010761454e-09,-9.695045835465428e-14,5.169021671124822e-09
195,5.194102227418354e-09,-9.754592883200621e-14,5.19390713556069e-09,-9.754592883200621e-14,5.2254298343488695e-09
196,5.250764728681319e-09,-9.817491359442136e-14,5.250568378854131e-09,-9.817491359442136e-14,5.281757948188942e-09
197,5.3063423380807406e-09,-9.876246887146302e-14,5.306144813142998e-09,-9.876246887146302e-14,5.33795131902748e-09
198,5.364645988308151e-09,-9.937726432908717e-14,5.364447233779493e-09,-9.937726432908717e-14,5.395985033096698e-09
199,5.4217616646244935e-09,-1.0001495752330947e-13,5.421561634709447e-09,-1.0001495752330947e-13,5.453794658383098e-09
200,5.479311850223529e-09,-1.0063180584506175e-13,5.479110586611839e-09,-1.0063180584506175e-13,5.511577937316794e-09
201,5.5374081800533e-09,-1.01221100393988e-13,5.537205737852512e-09,-1.01221100393988e-13,5.56939757093253e-09
202,5.594470049373227e-09,-1.0184161362012461e-13,5.5942663661459866e-09,-1.0184161362012461e-13,5.6271361351392835e-09
203,5.652308877606579e-09,-1.0241655415142268e-13,5.652104044498276e-09,-1.0241655415142268e-13,5.6851809380626306e-09
204,5.712289981751358e-09,-1.0306145114655107e-13,5.712083858849065e-09,-1.0306145114655107e-13,5.744865023480787e-09
205,5.770898407858105e-09,-1.0369457056196126e-13,5.770691018716981e-09,-1.0369457056196126e-13,5.804225810735798e-09
206,5.830592023916949e-09,-1.0429164173676499e-13,5.8303834406334755e-09,-1.0429164173676499e-13,5.863625126330442e-09
207,5.889654877016709e-09,-1.0491558797141548e-13,5.8894450458407666e-09,-1.0491558797141548e-13,5.9233860738450356e-09
208,5.949419937269855e-09,-1.0558894852481373e-13,5.9492087593728054e-09,-1.0558894852481373e-13,5.983241673521989e-09
209,6.010617788709983e-09,-1.062338000902041e-13,6.010405321109802e-09,-1.062338000902041e-13,6.04399704160052e-09
210,6.0710935973670364e-09,-1.0685940088463933e-13,6.070879878565267e-09,-1.0685940088463933e-13,6.105123382713904e-09
211,6.131697996791276e-09,-1.075128340482421e-13,6.131482971123179e-09,-1.075128340482421e-13,6.165879027714164e-09
212,6.192833439490382e-09,-1.081552634651022e-13,6.192617128963452e-09,-1.081552634651022e-13,6.226612798994768e-09
213,6.252778902455008e-09,-1.0878302515607036e-13,6.252561336404696e-09,-1.0878302515607036e-13,6.28727066969487e-09
214,6.313167783536386e-09,-1.0941654706148249e-13,6.312948950442263e-09,-1.0941654706148249e-13,6.34782063145039e-09
215,6.375734078927238e-09,-1.1007351590245979e-13,6.3755139318954335e-09,-1.1007351590245979e-13,6.410000210551254e-09
216,6.437035005610547e-09,-1.1073037048029717e-13,6.436813544869587e-09,-1.1073037048029717e-13,6.472086625581789e-09
217,6.499444722452386e-09,-1.1135968691622541e-13,6.499222003078554e-09,-1.1135968691622541e-13,6.534125577317418e-09
218,6.5607148153244755e-09,-1.1198664130933161e-13,6.5604908420418564e-09,-1.1198664130933161e-13,6.596187972368052e-09
219,6.62251142325312e-09,-1.1263549895969567e-13,6.6222861522552e-09,-1.1263549895969567e-13,6.6581715698756075e-09
220,6.6851399009947284e-09,-1.1326216990681354e-13,6.684913376654915e-09,-1.1326216990681354e-13,6.7203800396101685e-09
221,6.748281337249936e-09,-1.1392609163402364e-13,6.7480534850666685e-09,-1.1392609163402364e-13,6.784361247280693e-09
222,6.811959881167946e-09,-1.1458208914249872e-13,6.8117307169896605e-09,-1.1458208914249872e-13,6.848232249167185e-09
